loader,preprocessor,model,pg_scheme,task,accuracy_mean,accuracy_std,f1_mean,f1_std,status
whole_set,one_hot,knn,default_uzh_mit,classification,0.589738430583501,0.022830417680157183,0.43880863721443764,0.08523159543382207,success
reaction_set,one_hot,xgb,default_uzh_mit,classification,0.5813682092555332,0.053824287765837364,0.3715495916234832,0.03658677637736106,success
reaction_set,one_hot,knn,default_uzh_mit,classification,0.5757344064386318,0.09448428214686869,0.4527924878431289,0.06684311443868565,success
whole_set_shuffled,one_hot,xgb,default_uzh_mit,classification,0.575,0.05310600657067239,0.4681665965533218,0.05518939116462817,success
whole_set,positional_fingerprint,rff,default_uzh_mit,classification,0.6409657947686116,0.028358260532181403,0.5531553451304543,0.05488546649041787,success
whole_set,positional_fingerprint,xgb,default_uzh_mit,classification,0.6211267605633802,0.039496935766379984,0.5323306902698384,0.033518161548037904,success
reaction_set,positional_fingerprint,xgb,default_uzh_mit,classification,0.6070824949698189,0.04573833215718768,0.41602880861225877,0.07840133255577617,success
reaction_set,positional_fingerprint,rff,default_uzh_mit,classification,0.6070020120724346,0.034638842333427726,0.4122294190617172,0.08476802167562617,success
reaction_set,positional_fingerprint,knn,default_uzh_mit,classification,0.5871227364185111,0.04619343221895864,0.35070272571423056,0.044355233969941336,success
whole_set_shuffled,positional_fingerprint,rff,default_uzh_mit,classification,0.5863636363636364,0.027461468121805853,0.46323883429154045,0.04022215696439719,success
whole_set,positional_fingerprint,knn,default_uzh_mit,classification,0.5841046277665995,0.02663485397746227,0.44280249365552243,0.015475123194054856,success
whole_set_shuffled,positional_fingerprint,knn,default_uzh_mit,classification,0.5522727272727274,0.04465200614633752,0.4045411110565095,0.056469574015336935,success
whole_set_shuffled,positional_fingerprint,xgb,default_uzh_mit,classification,0.5522727272727272,0.04288173241843912,0.4163957895204886,0.03233147630078097,success
reaction_set,protected_fingerprint,knn,default_uzh_mit,classification,0.6240643863179074,0.04055763109587973,0.5362647058823529,0.029633808897234017,success
whole_set,protected_fingerprint,xgb,default_uzh_mit,classification,0.618430583501006,0.06948063406456367,0.5282063983488132,0.05620508712191659,success
reaction_set,protected_fingerprint,rff,default_uzh_mit,classification,0.6127967806841046,0.05286516526271255,0.42285795767938633,0.043077016964584866,success
whole_set,protected_fingerprint,rff,default_uzh_mit,classification,0.6068812877263581,0.04342001965161606,0.5164441368467421,0.020415593463996476,success
whole_set_shuffled,protected_fingerprint,knn,default_uzh_mit,classification,0.6,0.033247133723472266,0.5137805727810282,0.02932107795213826,success
reaction_set,protected_fingerprint,xgb,default_uzh_mit,classification,0.5985110663983904,0.04925093020403801,0.41375381607639666,0.06587165185977582,success
whole_set,protected_fingerprint,knn,default_uzh_mit,classification,0.5727565392354125,0.045796395214275774,0.48697005794796516,0.06158703154058941,success
whole_set_shuffled,protected_fingerprint,rff,default_uzh_mit,classification,0.5727272727272726,0.027461468121805863,0.4119315008851595,0.03377955028984991,success
whole_set_shuffled,protected_fingerprint,xgb,default_uzh_mit,classification,0.5681818181818181,0.042518833940612975,0.44231224828239746,0.03768573938252839,success
whole_set,protected_fp_hydrophob,rff,default_uzh_mit,classification,0.6268008048289738,0.0453139797444452,0.5241499169270376,0.03538494459364916,success
whole_set,protected_fp_hydrophob,xgb,default_uzh_mit,classification,0.6183501006036218,0.04344295036946639,0.5283599473914329,0.036574901019017246,success
reaction_set,protected_fp_hydrophob,xgb,default_uzh_mit,classification,0.6127162977867203,0.035361541934487054,0.42081780237460464,0.05302293641024855,success
whole_set_shuffled,protected_fp_hydrophob,knn,default_uzh_mit,classification,0.6113636363636363,0.0409090909090909,0.5087911679823445,0.05261755575769763,success
reaction_set,protected_fp_hydrophob,knn,default_uzh_mit,classification,0.6068812877263581,0.053524666680712915,0.4806722556616158,0.04066619434424003,success
whole_set_shuffled,protected_fp_hydrophob,rff,default_uzh_mit,classification,0.6068181818181818,0.02746146812180586,0.45512833056758134,0.0482776117650056,success
